t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,e1_deg,fault
16.0049,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.188,0
16.0062,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.184,0
16.0077,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.202,0
16.0092,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.229,0
16.0106,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.202,0
16.012,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.198,0
16.0136,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.188,0
16.015,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.182,0
16.0164,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.185,0
16.0178,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.212,0
16.0193,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.172,0
16.0206,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.214,0
16.0221,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.192,0
16.0236,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.17,0
16.025,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.215,0
16.0264,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.194,0
16.0278,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.209,0
16.0292,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.21,0
16.0306,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.171,0
16.032,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.191,0
16.0333,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.198,0
16.0347,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.206,0
16.036,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.214,0
16.0374,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.194,0
16.0387,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.214,0
16.0401,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.196,0
16.0415,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.209,0
16.0428,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.194,0
16.0442,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.153,0
16.0455,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.202,0
16.0469,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.171,0
16.0482,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.19,0
16.0496,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.185,0
16.0508,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.225,0
16.0522,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.177,0
16.0537,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.203,0
16.055,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.201,0
16.0563,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.2,0
16.0576,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.193,0
16.059,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.18,0
16.0603,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.202,0
16.0615,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.197,0
16.0628,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.227,0
16.0641,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.18,0
16.0654,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.177,0
16.0667,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.209,0
16.0679,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.189,0
16.0692,-0.225,-3.6021149298903765e-06,-1.269,0.2884,203.207,0
16.0705,-0.225,0.00015580120088998228,-1.227,0.2884,203.2,0
16.0717,-0.225,0.00022638186055701226,-1.209,0.2884,203.234,0
16.0729,-0.225,0.00019363194587640464,-1.217,0.2884,203.217,0
16.0742,-0.225,0.00014319097681436688,-1.23,0.2884,203.196,0
16.0755,-0.225,9.562708146404475e-05,-1.243,0.2884,203.176,0
16.0767,-0.225,6.330566975520924e-05,-1.251,0.2884,203.215,0
16.078,-0.225,3.86361098207999e-05,-1.258,0.2884,203.185,0
16.0792,-0.225,2.4128205041051842e-05,-1.261,0.2884,203.202,0
16.0804,-0.225,-0.000180390416062437,-1.315,0.2884,203.187,0
