t_s,K,D,phase,theta_d,theta,omega,tau_cmd,tau_meas,q_current_A,fet,fault
0.1163,400,28.28,step,10.216534423828126,10.182861328125,0.05932813510298729,11.791185215391327,9.605178833007812,1.8798799514770508,33.0,0
0.1176,400,28.28,step,10.216534423828126,10.18292236328125,0.05630982667207718,11.852141807259688,10.154809951782227,1.9874510765075684,33.0,0
0.1189,400,28.28,step,10.216534423828126,10.1829833984375,0.05324377492070198,11.91444878415434,11.13008975982666,2.178328275680542,33.0,0
0.1202,400,28.28,step,10.216534423828126,10.18304443359375,0.05143775790929794,11.941116596682422,10.329118728637695,2.0215659141540527,33.0,0
0.1221,400,28.28,step,10.216534423828126,10.183135986328125,0.04790790379047394,12.00433485429321,10.220528602600098,2.0003132820129395,33.0,0
0.1239,400,28.28,step,10.216534423828126,10.183197021484375,0.04523364454507828,12.055560265676014,9.875889778137207,1.9328621625900269,33.0,0
0.1252,400,28.28,step,10.216534423828126,10.183258056640625,0.043862562626600266,12.069926256060738,10.712244033813477,2.0965495109558105,33.0,0
0.1267,400,28.28,step,10.216534423828126,10.183319091796875,0.04179505631327629,12.103990102932633,10.744203567504883,2.10280442237854,33.0,0
0.1283,400,28.28,step,10.216534423828126,10.183380126953125,0.040168821811676025,12.125572898187876,10.687655448913574,2.0917370319366455,33.0,0
0.1297,400,28.28,step,10.216534423828126,10.183425903320312,0.03828877955675125,12.160437976407858,10.798983573913574,2.113525867462158,33.0,0
0.1311,400,28.28,step,10.216534423828126,10.1834716796875,0.0363922193646431,12.195770252443584,10.622237205505371,2.0789337158203125,33.0,0
0.1324,400,28.28,step,10.216534423828126,10.183502197265625,0.03407217934727669,12.24918386234974,10.31445598602295,2.0186963081359863,33.0,0
0.1336,400,28.28,step,10.216534423828126,10.18353271484375,0.031239401549100876,12.317099886727133,11.231669425964355,2.198209047317505,33.0,0
0.1349,400,28.28,step,10.216534423828126,10.183563232421875,0.028948524966835976,12.369688630124372,10.164544105529785,1.989356279373169,33.0,0
0.1362,400,28.28,step,10.216534423828126,10.183578491210938,0.025662213563919067,12.456536037623101,10.736712455749512,2.1013383865356445,33.0,0
0.1376,400,28.28,step,10.216534423828126,10.183609008789062,0.022701088339090347,12.528082275429858,10.686675071716309,2.091545343399048,33.0,0
0.1389,400,28.28,step,10.216534423828126,10.183624267578125,0.0196194127202034,12.609141708906147,10.962964057922363,2.1456191539764404,33.0,0
0.1401,400,28.28,step,10.216534423828126,10.183624267578125,0.016490887850522995,12.697629754924618,10.983414649963379,2.1496217250823975,33.0,0
0.1413,400,28.28,step,10.216534423828126,10.183639526367188,0.013334224931895733,12.780810149526877,11.567499160766602,2.2639360427856445,33.0,0
0.1425,400,28.28,step,10.216534423828126,10.183639526367188,0.010300111956894398,12.866627823907258,10.58598804473877,2.0718393325805664,33.0,0
0.1437,400,28.28,step,10.216534423828126,10.183639526367188,0.007336171809583902,12.95046071099503,11.56820011138916,2.264073133468628,33.0,0
0.1449,400,28.28,step,10.216534423828126,10.183639526367188,0.0049749938771128654,13.017244908100562,11.311387062072754,2.213810920715332,33.0,0
0.1463,400,28.28,step,10.216534423828126,10.183639526367188,0.003107881173491478,13.070054830259371,11.487998008728027,2.2483763694763184,33.0,0
0.1476,400,28.28,step,10.216534423828126,10.183624267578125,0.0019037245074287057,13.11021703965173,11.018084526062012,2.156407117843628,33.0,0
0.1489,400,28.28,step,10.216534423828126,10.183624267578125,0.001327733974903822,13.126508512109634,11.090618133544922,2.170603036880493,33.0,0
0.1504,400,28.28,step,10.216534423828126,10.183624267578125,0.0008979450212791562,13.138664779453116,11.489386558532715,2.248648166656494,33.0,0
0.1518,400,28.28,step,10.216534423828126,10.183624267578125,0.0009019442950375378,13.138551662909341,11.817858695983887,2.3129351139068604,33.0,0
0.1532,400,28.28,step,10.216534423828126,10.183639526367188,0.0007266250322572887,13.137406924867724,11.233658790588379,2.1985983848571777,33.0,0
0.1545,400,28.28,step,10.216534423828126,10.183639526367188,0.0005044356803409755,13.143691388765623,11.055354118347168,2.163701295852661,33.0,0
0.1558,400,28.28,step,10.216534423828126,10.183624267578125,0.0003302796103525907,13.154720781913566,10.979654312133789,2.148885726928711,33.0,0
0.157,400,28.28,step,10.216534423828126,10.183624267578125,0.0001909343700390309,13.158662060487638,11.526028633117676,2.25581955909729,33.0,0
0.1586,400,28.28,step,10.216534423828126,10.183624267578125,0.00011704812641255558,13.160751879043824,10.800935745239258,2.113907814025879,33.0,0
0.1599,400,28.28,step,10.216534423828126,10.183639526367188,0.00022998944041319191,13.151453900658586,11.2335205078125,2.19857120513916,33.0,0
0.1612,400,28.28,step,10.216534423828126,10.183639526367188,0.00027030956698581576,13.150313475261873,10.839820861816406,2.213611602783203,33.0,0
0.1625,400,28.28,step,10.216534423828126,10.183639526367188,0.000215338688576594,13.15186828649751,12.113668441772461,2.3708295822143555,33.0,0
0.1639,400,28.28,step,10.216534423828126,10.183639526367188,0.00014439075312111527,13.153874997148382,11.526225090026855,2.2558579444885254,33.0,0
0.1652,400,28.28,step,10.216534423828126,10.183639526367188,9.719415538711473e-05,13.155209918520647,11.310395240783691,2.2136168479919434,33.0,0
