t_s,kp,kd,dir,setpoint,mode,position_rev_out,velocity_rps_out,torque_Nm_out,q_current_A,d_current_A,bus_voltage_V,power_W,bus_current_A_derived,fet_temp_C,motor_temp_C,fault,orbis_position_rev_out,orbis_velocity_rps_out,encoder_validity
9.361,8000,160,-1,8.232735596973367,10,8.233627319335938,-0.05467827618122101,-6.302257061004639,-1.233447790145874,-0.23796212673187256,23.5,2.7226788997650146,0.11585867658574531,39.0,nan,0,0.6819452047348022,-2.7986674308776855,nan
9.381,8000,160,-1,8.23173652197293,10,8.232589721679688,-0.04853673651814461,-6.440162658691406,-1.4334211349487305,0.17623530328273773,23.5,2.6015138626098633,0.11070271755786652,39.0,nan,0,0.6303902864456177,-2.5607399940490723,nan
9.401,8000,160,-1,8.23073661152303,10,8.23150634765625,-0.051700081676244736,-5.018548965454102,-1.1069005727767944,-0.18047571182250977,23.5,2.1137585639953613,0.08994717293597282,39.0,nan,0,0.5762103796005249,-2.522078275680542,nan
9.421,8000,160,-1,8.229736886522737,10,8.230484008789062,-0.05147469416260719,-5.710427284240723,-1.1176176071166992,0.008775923401117325,23.5,1.8978135585784912,0.0807580237692975,39.0,nan,0,0.5250728130340576,-2.6525158882141113,nan
9.441,8000,160,-1,8.228737321973316,10,8.229507446289062,-0.04905690625309944,-6.1073079109191895,-1.1952933073043823,0.013325273990631104,23.5,2.4480743408203125,0.10417337620511968,39.0,nan,0,0.4758683145046234,-2.7037649154663086,nan
9.461,8000,160,-1,8.227737649023041,10,8.22845458984375,-0.04999937117099762,-5.8424763679504395,-1.1434617042541504,-0.10429522395133972,23.5,1.9809823036193848,0.08429711930295254,39.0,nan,0,0.4236363470554352,-2.267465591430664,nan
9.481,8000,160,-1,8.226737067772778,10,8.227523803710938,-0.046687908470630646,-6.926353931427002,-1.3555930852890015,0.004845468793064356,23.5,2.526698589324951,0.10751908890744473,39.0,nan,0,0.376797080039978,-2.1349401473999023,nan
9.501,8000,160,-1,8.225737011522874,10,8.2266845703125,-0.04516681656241417,-8.195241928100586,-1.6039338111877441,-0.02633707784116268,23.5,3.729677438735962,0.1587096782440835,39.0,nan,0,0.3349319398403168,-2.53035831451416,nan
9.522,8000,160,-1,8.224702028222968,10,8.225738525390625,-0.040988314896821976,-9.958904266357422,-2.0515875816345215,-0.00187067617662251,23.5,4.50339937210083,0.19163401583407788,39.0,nan,0,0.287678062915802,-2.027066230773926,nan
9.54,8000,160,-1,8.223774086523193,10,8.224929809570312,-0.04421127215027809,-9.743443489074707,-1.7995314598083496,-0.13673092424869537,23.5,4.5403900146484375,0.19320808572972076,39.0,nan,0,0.24705666303634644,-2.1554417610168457,nan
