t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,fault
0.1907,0.005,-0.00018707520212046802,-1.543,0.3121,0
0.1919,0.005,-0.00022306952450890094,-1.498,0.3121,0
0.193,0.005,-0.00018107614596374333,-1.386,0.3121,0
0.1941,0.005,-0.00021878443658351898,-1.256,0.3121,0
0.1952,0.005,-0.0003147692186757922,-1.11,0.3121,0
0.1963,0.005,-0.00028532493161037564,-0.907,0.3121,0
0.1973,0.005,-0.00022864002676215023,-0.69,0.3121,0
0.1983,0.005,-0.00017189390200655907,-0.446,0.3121,0
0.1993,0.005,-0.00012439124111551791,-0.205,0.3121,0
0.2003,0.005,-8.784600504441187e-05,0.042,0.3121,0
0.2013,0.005,-6.060542000341229e-05,0.284,0.3121,0
0.2022,0.005,-4.132275716983713e-05,0.506,0.3121,0
0.2033,0.005,-2.797793240461033e-05,0.727,0.3121,0
0.2043,0.005,-1.848964166129008e-05,0.924,0.3121,0
0.2052,0.005,-1.20620907182456e-05,1.097,0.3121,0
0.2063,0.005,0.0001513201859779656,1.298,0.3121,0
0.2073,0.005,0.000222757866140455,1.433,0.3121,0
0.2083,0.005,0.00021094339899718761,1.507,0.3121,0
0.2093,0.005,0.00017231685342267156,1.538,0.3121,0
0.2103,0.005,0.00046939225285314023,1.63,0.3121,0
0.2113,0.005,0.0006357128149829805,1.648,0.3121,0
0.2123,0.005,0.0008115829550661147,1.633,0.3121,0
0.2133,0.005,0.0010182439582422376,1.591,0.3121,0
0.2143,0.005,0.0010424238862469792,1.468,0.3121,0
0.2153,0.005,0.0009750262252055109,1.288,0.3121,0
0.2164,0.005,0.000987391802482307,1.072,0.3121,0
0.2174,0.005,0.0008121950086206198,0.817,0.3121,0
0.2184,0.005,0.0006237146444618702,0.553,0.3121,0
0.2194,0.005,0.0004723304300568998,0.284,0.3121,0
0.2203,0.005,0.00033753542811609805,0.013,0.3121,0
0.2213,0.005,0.0002364697866141796,-0.24,0.3121,0
0.2223,0.005,0.00016325687465723604,-0.483,0.3121,0
0.2233,0.005,0.00011581541912164539,-0.701,0.3121,0
0.2243,0.005,4.7377277951454744e-05,-0.918,0.3121,0
0.2253,0.005,-0.00023402714577969164,-1.169,0.3121,0
0.2263,0.005,-0.0006024177419021726,-1.418,0.3121,0
0.2273,0.005,-0.0006310049793682992,-1.54,0.3121,0
0.2283,0.005,-0.0005379584617912769,-1.596,0.3121,0
0.2293,0.005,-0.0005915213841944933,-1.657,0.3121,0
0.2303,0.005,-0.0007233167998492718,-1.702,0.3121,0
0.2313,0.005,-0.0006628978881053627,-1.657,0.3121,0
0.2323,0.005,-0.0007069113198667765,-1.604,0.3121,0
0.2333,0.005,-0.0007916939212009311,-1.527,0.3121,0
0.2343,0.005,-0.0007317034178413451,-1.382,0.3121,0
0.2352,0.005,-0.0005922559648752213,-1.186,0.3121,0
0.2363,0.005,-0.00044815632281824946,-0.958,0.3121,0
0.2373,0.005,-0.0003258491342421621,-0.719,0.3121,0
0.2383,0.005,-0.00023084375425241888,-0.469,0.3121,0
0.2393,0.005,-0.00016050795966293663,-0.219,0.3121,0
0.2403,0.005,-0.00011025062849512324,0.037,0.3121,0
0.2413,0.005,-7.511333387810737e-05,0.272,0.3121,0
0.2423,0.005,-5.062741183792241e-05,0.506,0.3121,0
0.2433,0.005,-3.3793341572163627e-05,0.738,0.3121,0
0.2443,0.005,-2.2468602765002288e-05,0.928,0.3121,0
0.2453,0.005,-1.4510683286061976e-05,1.1,0.3121,0
0.2463,0.005,0.00014997346443124115,1.293,0.3121,0
0.2473,0.005,0.00022226815053727478,1.429,0.3121,0
0.2483,0.005,0.00039532239316031337,1.556,0.3121,0
0.2493,0.005,0.0005863737314939499,1.655,0.3121,0
0.2503,0.005,0.0005687438533641398,1.658,0.3121,0
0.2513,0.005,0.0005547869368456304,1.626,0.3121,0
0.2523,0.005,0.0005752326687797904,1.566,0.3121,0
0.2533,0.005,0.000643181090708822,1.485,0.3121,0
0.2543,0.005,0.0007802409236319363,1.393,0.3121,0
0.2553,0.005,0.000861717970110476,1.257,0.3121,0
0.2563,0.005,0.000884734676219523,1.08,0.3121,0
0.2573,0.005,0.0008884075796231627,0.876,0.3121,0
0.2583,0.011,0.0009045684128068388,0.661,0.3129,0
0.2593,0.011,0.0008029518066905439,0.394,0.3129,0
0.2603,0.011,0.0006373657961376011,0.114,0.3129,0
0.2613,0.011,0.00047673823428340256,-0.161,0.3129,0
0.2623,0.011,0.0003439021820668131,-0.425,0.3129,0
0.2633,0.011,0.00024185710935853422,-0.669,0.3129,0
0.2643,0.011,0.00016741993022151291,-0.885,0.3129,0
0.2653,0.011,0.00011471397738205269,-1.076,0.3129,0
0.2663,0.011,7.774024561513215e-05,-1.23,0.3129,0
0.2673,0.011,5.227488873060793e-05,-1.356,0.3129,0
0.2683,0.011,-9.323268022853881e-05,-1.475,0.3129,0
0.2693,0.005,-0.00042924072477035224,-1.612,0.3121,0
0.2703,0.005,-0.0006468592910096049,-1.68,0.3121,0
0.2713,0.005,-0.0006161906057968736,-1.642,0.3121,0
0.2723,0.005,-0.0005053305649198592,-1.543,0.3121,0
0.2734,0.005,-0.00037341273855417967,-1.4,0.3121,0
0.2744,0.005,-0.0004094682226423174,-1.267,0.3121,0
0.2755,0.005,-0.0006188839906826615,-1.148,0.3121,0
0.2766,0.005,-0.0005768294795416296,-0.93,0.3121,0
0.2776,0.005,-0.000456664856756106,-0.677,0.3121,0
