t_s,cmd_velocity_rps_out,phase,mode,velocity_rps_out,q_current_A,d_current_A,voltage_q_V,voltage_d_V,bus_voltage_V,fet_temp_C,fault,omega_e_rad_s,vq_corrected_V
1.8423,0.1,dwell,10,-0.00014493743947241455,0.19316336512565613,0.013825492933392525,0.0,0.0,24.0,32.0,0,-0.637468153107314,-0.0912394905675916
1.8615,0.1,dwell,10,1.460854309698334e-05,0.13179661333560944,-0.053138189017772675,0.0,0.0,24.0,32.0,0,0.06425172834238584,-0.062254510266885776
1.8819,0.1,dwell,10,-1.312175390921766e-05,0.1627350151538849,0.1049785166978836,0.0,0.0,24.0,32.0,0,-0.05771248795677588,-0.07686749155457724
1.9022,0.1,dwell,10,0.0002523871080484241,0.11791621893644333,0.14392390847206116,0.0,0.0,24.0,32.0,0,1.1100564783079836,-0.05577422373385327
1.9223,0.1,dwell,10,-5.42923635293846e-06,0.09986399859189987,0.03958074748516083,0.0,0.0,24.0,32.0,0,-0.02387902865739175,-0.047171815603877655
1.9414,0.1,dwell,10,4.021667336928658e-05,0.04971739649772644,0.020323384553194046,0.0,0.0,24.0,32.0,0,0.17688216785227942,-0.0234864394742937
1.9622,0.1,dwell,10,0.001307812170125544,0.23733840882778168,0.06521157920360565,0.0,0.0,24.0,32.0,0,5.752058348318428,-0.112285809763839
1.9822,0.1,dwell,10,0.0008081354899331927,0.1390954703092575,0.029094435274600983,0.0,0.0,24.0,32.0,0,3.554365525591029,-0.06575220260594726
2.0023,0.1,dwell,10,7.3844553298840765e-06,0.18334053456783295,0.06236545369029045,0.0,0.0,24.0,32.0,0,0.03247853086117613,-0.0866045990506034
2.0216,0.1,dwell,10,-1.3163303265173454e-05,0.1858566701412201,0.008696435019373894,0.0,0.0,24.0,32.0,0,-0.05789523156878084,-0.08779195048900659
2.0422,0.1,dwell,10,0.00022018748859409243,0.09012064337730408,-0.019580760970711708,0.0,0.0,24.0,32.0,0,0.9684351552114219,-0.042560967964151014
2.062,0.1,dwell,10,0.00015752395847812295,0.23684531450271606,-0.06698094308376312,0.0,0.0,24.0,32.0,0,0.6928265550069564,-0.11185573063544761
2.0832,0.1,dwell,10,8.231176616391167e-05,0.12628641724586487,0.10209941864013672,0.0,0.0,24.0,32.0,0,0.3620260558383641,-0.05967057265091471
2.1023,0.1,dwell,10,-4.6117005695123225e-05,0.043967895209789276,-0.00625883974134922,0.0,0.0,24.0,32.0,0,-0.2028331848163009,-0.020769488625774768
2.1224,0.1,dwell,10,0.0001304060424445197,0.18997985124588013,-0.0375613272190094,0.0,0.0,24.0,32.0,0,0.5735557308983905,-0.08972975551948958
2.1415,0.1,dwell,10,1.4587764781026635e-05,0.09257402271032333,0.06264757364988327,0.0,0.0,24.0,32.0,0,0.06416034053571687,-0.04373060834179146
2.162,0.1,dwell,10,0.0004398265155032277,0.19108015298843384,-0.03148951753973961,0.0,0.0,24.0,32.0,0,1.9344580499425121,-0.0902310835873901
2.1813,0.1,dwell,10,-1.2407884241838474e-05,0.14175456762313843,-0.00998440571129322,0.0,0.0,24.0,32.0,0,-0.054572725173053234,-0.06696015119952521
2.2023,0.1,dwell,10,0.00011620428267633542,0.1984894573688507,-0.08221779018640518,0.0,0.0,24.0,32.0,0,0.5110931290803059,-0.09373981735783558
2.2221,0.1,dwell,10,6.129469693405554e-05,0.14190174639225006,-0.007609598338603973,0.0,0.0,24.0,32.0,0,0.26958815742885833,-0.06702845887143957
2.2423,0.1,dwell,10,0.0016726108733564615,0.06466324627399445,-0.06688240170478821,0.0,0.0,24.0,32.0,0,7.356526844871494,-0.03031451242590736
2.2625,0.1,dwell,10,0.0006292861071415246,0.157496377825737,0.11268602311611176,0.0,0.0,24.0,32.0,0,2.7677448556827065,-0.07454166032770387
2.2822,0.1,dwell,10,0.00024428576580248773,0.14005744457244873,0.024040430784225464,0.0,0.0,24.0,32.0,0,1.074424914110313,-0.06617031654104767
2.3022,0.1,dwell,10,0.000214372223126702,0.28431084752082825,-0.09272584319114685,0.0,0.0,24.0,32.0,0,0.9428582818319826,-0.13425759961822817
2.3223,0.1,dwell,10,-1.314274049946107e-05,0.19297510385513306,0.016241883859038353,0.0,0.0,24.0,32.0,0,-0.05780479180160153,-0.09115424578418259
2.3418,0.1,dwell,10,0.00019331449584569782,0.06588882207870483,0.08484175056219101,0.0,0.0,24.0,32.0,0,0.8502415599737624,-0.03115731483054316
2.3623,0.1,dwell,10,-1.22651326819323e-05,0.2457256317138672,0.07092846930027008,0.0,0.0,24.0,32.0,0,-0.05394487102040763,-0.11607039831826038
2.3813,0.1,dwell,10,2.3321043045143597e-05,0.16003704071044922,-0.018759453669190407,0.0,0.0,24.0,32.0,0,0.10257130450654425,-0.07559499670500427
2.4022,0.1,dwell,10,7.098696369212121e-05,0.24450552463531494,0.2535077929496765,0.0,0.0,24.0,32.0,0,0.3122169730901387,-0.11553287405549341
2.4223,0.1,dwell,10,5.9254154621157795e-05,0.2138635218143463,-0.020499173551797867,0.0,0.0,24.0,32.0,0,0.2606133835935042,-0.10101914360944778
2.4423,0.1,dwell,10,0.00018572394037619233,0.07605195790529251,-0.05357882380485535,0.0,0.0,24.0,32.0,0,0.8168565533542324,-0.03590381158093954
2.4623,0.1,dwell,10,0.00026942481053993106,0.10720601677894592,-0.10986033082008362,0.0,0.0,24.0,32.0,0,1.184992207681897,-0.05057947711061967
2.4823,0.1,dwell,10,0.0006693822215311229,0.10741937160491943,0.14046508073806763,0.0,0.0,24.0,32.0,0,2.9440967774481073,-0.050934584868274534
2.5022,0.1,dwell,10,0.0012617983156815171,0.2672758102416992,0.026175877079367638,0.0,0.0,24.0,32.0,0,5.54967884639984,-0.12631968664098392
2.5222,0.1,dwell,10,0.00010498175834072754,0.07138235867023468,0.05965856835246086,0.0,0.0,24.0,32.0,0,0.46173388906983603,-0.033731412591172405
2.5421,0.1,dwell,10,0.00016229911125265062,0.22793720662593842,-0.053450699895620346,0.0,0.0,24.0,32.0,0,0.7138287738336716,-0.10765171188592586
2.5621,0.1,dwell,10,-1.314249402639689e-05,0.10573633015155792,-0.08209303766489029,0.0,0.0,24.0,32.0,0,-0.05780370775644669,-0.049948361183440676
2.5821,0.1,dwell,10,0.0001989055599551648,0.24495753645896912,-0.14412474632263184,0.0,0.0,24.0,32.0,0,0.8748323442786339,-0.11565039083376655
2.6014,0.1,dwell,10,-0.00019380779122002423,0.24612681567668915,-0.0019308951450511813,0.0,0.0,24.0,32.0,0,-0.8524111863474095,-0.11626246315968113
2.6222,0.1,dwell,10,8.343905392393935e-06,0.24611422419548035,-0.0726189911365509,0.0,0.0,24.0,32.0,0,0.03669841263619027,-0.11625449896554699
2.6422,0.1,dwell,10,9.983961354009807e-05,0.1057056337594986,0.0191251989454031,0.0,0.0,24.0,32.0,0,0.4391175550087426,-0.04993556992861905
2.6622,0.1,dwell,10,0.00022104484378360212,0.0880143940448761,-0.02923109382390976,0.0,0.0,24.0,32.0,0,0.972206000282255,-0.041561626507153754
2.6823,0.1,dwell,10,0.0003702049725688994,0.1934603750705719,-0.008736394345760345,0.0,0.0,24.0,32.0,0,1.6282465110028113,-0.09137725636744609
2.7026,0.1,dwell,10,-1.3142551324563101e-05,0.2276872992515564,0.0023063260596245527,0.0,0.0,24.0,32.0,0,-0.05780395976694394,-0.10755144875337362
2.7222,0.1,dwell,10,-1.3142551324563101e-05,0.19347791373729706,0.042576711624860764,0.0,0.0,24.0,32.0,0,-0.05780395976694394,-0.0913910435491952
2.7421,0.1,dwell,10,0.0001457914331695065,0.10515598952770233,0.08394071459770203,0.0,0.0,24.0,32.0,0,0.6412242135623084,-0.04969718539072734
2.7622,0.1,dwell,10,-1.550955857965164e-05,0.016822949051856995,0.05100833624601364,0.0,0.0,24.0,32.0,0,-0.06821460141195579,-0.007944944796960868
2.7823,0.1,dwell,10,0.00022520734637510031,0.10489629209041595,0.023155901581048965,0.0,0.0,24.0,32.0,0,0.990513642869054,-0.04956006536907027
2.8022,0.1,dwell,10,0.0006066773785278201,0.2836773097515106,-0.017416618764400482,0.0,0.0,24.0,32.0,0,2.668306473674959,-0.13397749487216196
2.8222,0.1,dwell,10,0.0005900472751818597,0.2614145278930664,-0.11152856796979904,0.0,0.0,24.0,32.0,0,2.595163458974808,-0.12334769117877072
2.8422,0.1,dwell,10,0.0013106887927278876,0.14151541888713837,0.012939289212226868,0.0,0.0,24.0,32.0,0,5.764710395326969,-0.06688182067838956
2.8622,0.1,dwell,10,0.0007420650217682123,0.3720341622829437,-0.008000282570719719,0.0,0.0,24.0,32.0,0,3.2637724292221524,-0.17572370367730505
2.8821,0.1,dwell,10,-0.00011663579061860219,0.32459256052970886,-0.03714235499501228,0.0,0.0,24.0,32.0,0,-0.5129910001342531,-0.15333507716274675
2.9021,0.1,dwell,10,0.00022628957231063396,0.09443329274654388,0.10619039833545685,0.0,0.0,24.0,32.0,0,0.9952735211370894,-0.04465641780313075
2.9221,0.1,dwell,10,0.0003440260770730674,0.2313961237668991,0.08389273285865784,0.0,0.0,24.0,32.0,0,1.5131057149264906,-0.10936280514010387
2.9421,0.1,dwell,10,-1.3100985597702675e-05,0.18675391376018524,-0.05124635994434357,0.0,0.0,24.0,32.0,0,-0.05762114415193977,-0.08821739367123502
2.9621,0.1,dwell,10,9.81368611974176e-06,0.1393350064754486,-0.10527877509593964,0.0,0.0,24.0,32.0,0,0.04316284590578357,-0.06581485482987674
2.9822,0.1,dwell,10,0.00036810393794439733,0.1873895227909088,-0.048871107399463654,0.0,0.0,24.0,32.0,0,1.6190056780850286,-0.08847924257417047
